word,count
car,2629
bmw,1501
sedan,653
acura,565
audi,449
honda,416
infiniti,402
nissan,294
toyota,293
seat,258
problem,255
mercedes,223
subaru,211
volkswagen,174
ford,141
volvo,121
hyundai,107
chevrolet,102
cadillac,95
mazda,79
chrysler,70
lincoln,52
dodge,50
pontiac,47
buick,35
mitsubishi,23
kia,22
suzuki,20
saturn,11
mercury,5
